MHL,Marshall Islands,MYS,Malaysia,,,,,,,,,,,,,,,,
MRT,Mauritania,MDV,Maldives,,,,,,,,,,,,,,,,
MUS,Mauritius,MLI,Mali,84.8,,,,,75.4,,,,,65.9,,65.9,,65.9,
MEX,Mexico,MLT,Malta,,,,,,,,,,,,,,,,
FSM,"Micronesia, Federated States of",MHL,Marshall Islands,,,,,,,,,,,,,,,,
MDA,"Moldova, Republic of",MRT,Mauritania,,,,,,,,,,,,,,,,
MCO,Monaco,MUS,Mauritius,,,,,,,,,,,,,,,,
MKD,Macedonia,MEX,Mexico,21.5,,,,,19.9,,,,,14.4,,14.4,,,
MNG,Mongolia,FSM,"Micronesia, Federated States of",,,,,,,,,,,,,,,,
MNE,Montenegro,MDA,"Moldova, Republic of",,,,,,,,,,,,,,,,
MAR,Morocco,MCO,Monaco,,,,,,,,,,,,,,,,
MOZ,Mozambique,MKD,Macedonia,,,,,,,,,,,,,,,,
MMR,Myanmar,MNG,Mongolia,66.7,,,,,64.9,,,,,57.9,,57.9,,,
NAM,Namibia,MNE,Montenegro,,,,,,,,,,,,,,,,
NRU,Nauru,MAR,Morocco,35.2,,,,,24.2,,,,,13.1,,13.1,,13.1,
NPL,Nepal,MOZ,Mozambique,76.9,,,,,78.2,,,,,79.5,,80,,80.5,
NLD,Netherlands,MMR,Myanmar,,,,,,,,,,,45.6,,,,,
NZL,New Zealand,NAM,Namibia,34.1,,,,,33.9,,,,,33.9,,33.6,,33.5,
NIC,Nicaragua,NRU,Nauru,,,,,,,,,,,,,,,,
NER,Niger,NPL,Nepal,67.3,,,,,64,,,,,60.7,,59.4,,58.1,
NGA,Nigeria,NLD,Netherlands,,,,,,,,,,,,,,,,
NOR,Norway,NZL,New Zealand,,,,,,,,,,,,,,,,
OMN,Oman,NIC,Nicaragua,74.5,,,,,60,,,,,45.5,,45.5,,,
PAK,Pakistan,NER,Niger,83.1,,,,,82.6,,,,,82.1,,81.9,,81.7,
PLW,Palau,NGA,Nigeria,73.5,,,,,69.6,,,,,65.8,,64.2,,62.7,
PAN,Panama,NOR,Norway,,,,,,,,,,,,,,,,
PNG,Papua New Guinea,OMN,Oman,,,,,,,,,,,,,,,,
PRY,Paraguay,PAK,Pakistan,49.8,,,,,48.7,,,,,47.5,,47,,46.6,
PER,Peru,PLW,Palau,,,,,,,,,,,,,,,,
PHL,Philippines,PAN,Panama,,,,,,,,,,,23,,,,,
POL,Poland,PNG,Papua New Guinea,,,,,,,,,,,,,,,,
PRT,Portugal,PRY,Paraguay,,,,,,,,,,,17.6,,,,,
QAT,Qatar,PER,Peru,56.3,,,,,46.2,,,,,36.1,,36.1,,,
ROU,Romania,PHL,Philippines,50.8,,,,,47.2,,,,,43.7,,42.3,,40.9,
RUS,Russian Federation,POL,Poland,,,,,,,,,,,,,,,,
RWA,Rwanda,PRT,Portugal,,,,,,,,,,,,,,,,
KNA,Saint Kitts and Nevis,QAT,Qatar,,,,,,,,,,,,,,,,
LCA,Saint Lucia,ROU,Romania,,,,,,,,,,,,,,,,
VCT,Saint Vincent and the Grenadines,RUS,Russian Federation,,,,,,,,,,,,,,,,
WSM,Samoa,RWA,Rwanda,87.9,,,,,79.7,,,,,71.6,,68.3,,65.1,
SMR,San Marino,KNA,Saint Kitts and Nevis,,,,,,,,,,,,,,,,
STP,Sao Tome and Principe,LCA,Saint Lucia,,,,,,,,,,,11.9,,,,,
SAU,Saudi Arabia,VCT,Saint Vincent and the Grenadines,,,,,,,,,,,,,,,,
SEN,Senegal,WSM,Samoa,,,,,,,,,,,,,,,,
SRB,Serbia,SMR,San Marino,,,,,,,,,,,,,,,,
SYC,Seychelles,STP,Sao Tome and Principe,,,,,,,,,,,,,,,,
SLE,Sierra Leone,SAU,Saudi Arabia,,,,,,,,,,,18,,,,,
SGP,Singapore,SEN,Senegal,59.8,,,,,48.9,,,,,43.3,,41.1,,38.8,
SVK,Slovakia,SRB,Serbia,,,,,,,,,,,,,,,,
SVN,Slovenia,SYC,Seychelles,,,,,,,,,,,,,,,,
SLB,Solomon Islands,SLE,Sierra Leone,,,,,,,,,,,97,,,,,
SOM,Somalia,SGP,Singapore,,,,,,,,,,,,,,,,
ZAF,South Africa,SVK,Slovakia,,,,,,,,,,,,,,,,
ESP,Spain,SVN,Slovenia,,,,,,,,,,,,,,,,
LKA,Sri Lanka,SLB,Solomon Islands,,,,,,,,,,,,,,,,
SDN,Sudan,SOM,Somalia,,,,,,,,,,,73.5,,73.6,,73.6,
SUR,Suriname,ZAF,South Africa,39.7,,,,,33.2,,,,,28.7,,23,,23,
SWZ,Swaziland,ESP,Spain,,,,,,,,,,,,,,,,
SWE,Sweden,LKA,Sri Lanka,,,,,,,,,,,,,,,,
CHE,Switzerland,SDN,Sudan,,,,,,,,,,,,,,,,
SYR,Syrian Arab Republic,SUR,Suriname,,,,,,,,,,,3.9,,,,,
TJK,Tajikistan,SWZ,Swaziland,,,,,,,,,,,,,,,,
TZA,"Tanzania, United Republic of",SWE,Sweden,,,,,,,,,,,,,,,,
THA,Thailand,CHE,Switzerland,,,,,,,,,,,,,,,,
TLS,TimorLeste,SYR,Syrian Arab Republic,,,,,,,,,,,10.5,,22.5,,,
TGO,Togo,TJK,Tajikistan,,,,,,,,,,,,,,,,
TON,Tonga,TZA,"Tanzania, United Republic of",73.7,,,,,70.1,,,,,66.4,,65,,63.5,
TTO,Trinidad and Tobago,THA,Thailand,,,,,,,,,,,26,,26.5,,27,
TUN,Tunisia,TLS,TimorLeste,,,,,,,,,,,,,,,,
TUR,Turkey,TGO,Togo,,,,,,,,,,,62.1,,,,,
TKM,Turkmenistan,TON,Tonga,,,,,,,,,,,,,,,,
TUV,Tuvalu,TTO,Trinidad and Tobago,,,,,,,,,,,24.7,,,,,
UGA,Uganda,TUN,Tunisia,,,,,,,,,,,,,,,,
UKR,Ukraine,TUR,Turkey,20.7,,,,,17.9,,,,,15.5,,14.1,,13,
ARE,United Arab Emirates,TKM,Turkmenistan,,,,,,,,,,,,,,,,
